Time,Film
10:58:01,"212.      Hachi: A Dog's Tale(2009)
8.1
"
10:58:01,"213.      Platoon(1986)
8.1
"
10:58:01,"214.      Ben-Hur(1959)
8.1
"
10:58:01,"215.      Rush(2013)
8.1
"
10:58:01,"216.      La passion de Jeanne d'Arc(1928)
8.1
"
10:58:01,"217.      Logan(2017)
8.0
"
10:58:01,"218.      Dead Poets Society(1989)
8.0
"
10:58:01,"219.      Harry Potter and the Deathly Hallows: Part 2(2011)
8.0
"
10:58:01,"220.      Andrei Rublev(1966)
8.0
"
10:58:01,"221.      Les quatre cents coups(1959)
8.0
"
10:58:01,"222.      Hotel Rwanda(2004)
8.0
"
10:58:01,"223.      Amores perros(2000)
8.0
"
10:58:01,"224.      Rang De Basanti(2006)
8.0
"
10:58:01,"225.      Spotlight(2015)
8.0
"
10:58:01,"226.      Kaze no tani no Naushika(1984)
8.0
"
10:58:01,"227.      Ah-ga-ssi(2016)
8.0
"
10:58:01,"228.      Rocky(1976)
8.0
"
10:58:01,"229.      Rebecca(1940)
8.0
"
10:58:01,"230.      Portrait de la jeune fille en feu(2019)
8.0
"
10:58:01,"231.      Monsters, Inc.(2001)
8.0
"
10:58:01,"232.      La haine(1995)
8.0
"
10:58:01,"233.      It Happened One Night(1934)
8.0
"
10:58:01,"234.      Gangs of Wasseypur(2012)
8.0
"
10:58:01,"235.      Faa yeung nin wa(2000)
8.0
"
10:58:01,"236.      Before Sunset(2004)
8.0
"
10:58:01,"237.      The Princess Bride(1987)
8.0
"
10:58:01,"238.      The Help(2011)
8.0
"
10:58:01,"239.      Paris, Texas(1984)
8.0
"
10:58:01,"240.      Contratiempo(2016)
8.0
"
10:58:01,"241.      Drishyam(2015)
8.0
"
10:58:01,"242.      Ace in the Hole(1951)
8.0
"
10:58:01,"243.      The Terminator(1984)
8.0
"
10:58:01,"244.      Lagaan: Once Upon a Time in India(2001)
8.0
"
10:58:01,"245.      Kis Uykusu(2014)
8.0
"
10:58:01,"246.      Butch Cassidy and the Sundance Kid(1969)
8.0
"
10:58:01,"247.      PK(2014)
8.0
"
10:58:01,"248.      Aladdin(1992)
8.0
"
10:58:01,"249.      Akira(1988)
8.0
"
10:58:01,"250.      Kumonosu-jô(1957)
8.0
"
